epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,131.706,1.63216,2.65448,1.90562,0.44454,0.46154,0.50511,0.25115,1.70043,2.52008,1.96363,0.00114606,0.00114606,0.00114606
12,140.642,1.62111,2.52854,1.90322,0.46229,0.61771,0.64595,0.28743,1.85238,2.27461,2.12496,0.00111776,0.00111776,0.00111776
13,150.024,1.59189,2.48495,1.89643,0.47229,0.36028,0.4641,0.17298,1.93209,1.97688,2.23729,0.00108947,0.00108947,0.00108947
14,162.81,1.59561,2.4561,1.87083,0.49831,0.26923,0.40644,0.23441,1.7875,2.10761,1.908,0.00106118,0.00106118,0.00106118
15,171.874,1.6184,2.35831,1.88039,0.98111,0.422,0.57976,0.2449,1.8398,2.25313,2.03743,0.00103288,0.00103288,0.00103288
16,181.779,1.50096,2.29263,1.8347,0.6545,0.67949,0.79128,0.37011,1.67577,1.8532,1.94212,0.00100459,0.00100459,0.00100459
17,193.458,1.57703,2.29966,1.83651,0.94139,0.50973,0.6163,0.32936,1.5483,1.63148,1.89976,0.000976293,0.000976293,0.000976293
18,202.129,1.59899,2.2545,1.82043,0.97516,0.42857,0.62346,0.23701,1.72613,1.82746,1.92831,0.000947999,0.000947999,0.000947999
19,214.373,1.48949,2.16645,1.76067,0.91308,0.47898,0.55558,0.22072,1.60728,1.96743,1.90121,0.000919704,0.000919704,0.000919704
20,224.049,1.51593,2.12826,1.76009,0.82462,0.42801,0.43524,0.22047,1.7333,1.75272,2.00258,0.00089141,0.00089141,0.00089141
21,235.506,1.4922,2.06318,1.74605,0.52382,0.66343,0.75816,0.41808,1.58259,1.67308,1.88042,0.000863116,0.000863116,0.000863116
22,247.051,1.48273,1.9945,1.77279,0.60548,0.67393,0.72233,0.38839,1.55788,1.80528,1.82017,0.000834822,0.000834822,0.000834822
23,256.964,1.4573,1.96894,1.75979,0.67473,0.63715,0.74933,0.33121,1.59438,1.58788,1.87745,0.000806528,0.000806528,0.000806528
24,265.399,1.44662,1.88795,1.70984,0.4206,0.48718,0.55246,0.30319,1.65074,1.5677,1.92587,0.000778233,0.000778233,0.000778233
25,273.948,1.39287,1.86111,1.67404,0.4576,0.66453,0.58824,0.32216,1.54599,1.60456,1.84798,0.000749939,0.000749939,0.000749939
26,282.63,1.39491,1.92249,1.69147,0.73432,0.46154,0.57642,0.38532,1.74348,1.81799,2.08185,0.000721645,0.000721645,0.000721645
27,290.817,1.44226,1.86787,1.7009,0.89037,0.62187,0.80022,0.36742,1.71201,1.69343,2.05231,0.000693351,0.000693351,0.000693351
28,299.208,1.32608,1.78012,1.61875,0.77712,0.62821,0.79327,0.31926,1.5892,1.55581,1.77018,0.000665057,0.000665057,0.000665057
29,307.68,1.34557,1.75185,1.59642,0.73098,0.70513,0.78017,0.41131,1.64431,1.45501,1.84072,0.000636762,0.000636762,0.000636762
30,317.312,1.36793,1.75919,1.66149,0.93922,0.63339,0.83441,0.45111,1.55234,1.41956,1.84906,0.000608468,0.000608468,0.000608468
31,327.098,1.35432,1.73548,1.65556,0.48735,0.73077,0.6185,0.31032,1.63495,1.59923,1.95323,0.000580174,0.000580174,0.000580174
32,338.073,1.30948,1.68653,1.6246,0.48216,0.65776,0.46461,0.27992,1.65056,1.70294,1.85771,0.00055188,0.00055188,0.00055188
33,348.193,1.28399,1.62438,1.56377,0.72842,0.45714,0.71608,0.38966,1.57743,1.38576,1.79626,0.000523586,0.000523586,0.000523586
34,357.915,1.21302,1.54828,1.55386,0.56466,0.70513,0.72258,0.3972,1.55607,1.51479,1.783,0.000495291,0.000495291,0.000495291
35,366.583,1.26066,1.54832,1.54276,0.68144,0.70159,0.72588,0.39423,1.60431,1.35625,1.79383,0.000466997,0.000466997,0.000466997
36,376.678,1.26161,1.55848,1.56795,0.91311,0.63823,0.82506,0.42362,1.64853,1.48683,1.9055,0.000438703,0.000438703,0.000438703
37,385.725,1.19449,1.46867,1.53919,0.66337,0.74157,0.84156,0.40164,1.65664,1.43418,1.92433,0.000410409,0.000410409,0.000410409
38,399.087,1.16895,1.41806,1.50862,0.84186,0.70365,0.7966,0.42234,1.63411,1.32248,1.84646,0.000382115,0.000382115,0.000382115
39,410.641,1.23191,1.51981,1.54613,0.6536,0.69792,0.77608,0.42707,1.57637,1.45035,1.80787,0.00035382,0.00035382,0.00035382
40,419.717,1.16403,1.36904,1.48582,0.73271,0.71451,0.6717,0.31305,1.65351,1.3694,1.87207,0.000325526,0.000325526,0.000325526
41,431.001,1.27877,1.53515,1.64773,0.60103,0.75641,0.78324,0.36807,1.58206,1.46621,1.85894,0.000297232,0.000297232,0.000297232
42,439.209,1.24359,1.39939,1.59586,0.56116,0.77338,0.73595,0.45185,1.59213,1.47789,1.76559,0.000268938,0.000268938,0.000268938
43,448.701,1.17302,1.33531,1.55639,0.91824,0.59716,0.82032,0.42998,1.60019,1.49419,1.8119,0.000240644,0.000240644,0.000240644
44,457.144,1.14311,1.27658,1.5557,0.7378,0.70513,0.78796,0.50118,1.55622,1.38201,1.76791,0.000212349,0.000212349,0.000212349
45,466.203,1.14823,1.20803,1.52097,0.80152,0.65936,0.7822,0.44748,1.62177,1.39348,1.8466,0.000184055,0.000184055,0.000184055
1,8.70265,1.97808,4.3265,2.20469,0.00232,0.74359,0.06027,0.02717,1.75255,3.6685,1.90737,0.000464992,0.000464992,0.000464992
2,14.8424,1.79939,3.79681,2.0558,0.00357,0.84615,0.16861,0.076,2.16975,3.44911,2.49946,0.000922687,0.000922687,0.000922687
3,20.773,1.85677,3.61998,2.0975,0.1097,0.82051,0.16081,0.06975,1.93082,4.29922,2.42191,0.00136152,0.00136152,0.00136152
4,26.65,1.83555,3.50736,2.14398,0.27413,0.62821,0.41277,0.16891,1.83009,7.18585,2.22329,0.00134412,0.00134412,0.00134412
5,32.5448,1.85381,3.2783,2.09856,0.5184,0.4429,0.37953,0.18336,2.15149,5.78347,2.44998,0.00131582,0.00131582,0.00131582
6,38.3974,1.78761,3.10751,2.04216,0.54349,0.16667,0.26672,0.06391,1.93482,4.53596,2.12416,0.00128753,0.00128753,0.00128753
7,44.2843,1.77989,2.99073,2.01354,0.85289,0.41026,0.60429,0.27298,1.81203,2.74082,2.0846,0.00125923,0.00125923,0.00125923
8,50.1829,1.74933,2.83626,1.96525,0.67253,0.35517,0.25904,0.13448,1.77577,2.90572,2.09991,0.00123094,0.00123094,0.00123094
9,56.0648,1.70906,2.88395,2.00881,0.44816,0.4359,0.32359,0.14785,1.88998,2.79192,2.26143,0.00120265,0.00120265,0.00120265
10,61.9334,1.66596,2.75793,1.94408,0.53105,0.61264,0.58096,0.21682,1.89865,2.26208,2.22739,0.00117435,0.00117435,0.00117435
11,67.8146,1.63216,2.65448,1.90562,0.44454,0.46154,0.50511,0.25115,1.70043,2.52008,1.96363,0.00114606,0.00114606,0.00114606
