epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,271.919,1.09927,1.32634,1.43054,0.74373,0.67949,0.756,0.41418,1.64835,1.52468,1.80107,0.000297081,0.000297081,0.000297081
39,278.218,1.14331,1.40539,1.48452,0.91637,0.63004,0.8104,0.45977,1.57699,1.45435,1.77429,0.000275084,0.000275084,0.000275084
40,284.449,1.10587,1.31133,1.42651,0.72849,0.53846,0.60964,0.33909,1.57234,1.47604,1.72831,0.000253086,0.000253086,0.000253086
41,292.701,1.211,1.47725,1.58334,0.60518,0.51282,0.61914,0.32267,1.85585,1.73253,2.14637,0.000231088,0.000231088,0.000231088
42,298.703,1.16223,1.41521,1.53291,0.87993,0.66359,0.8279,0.49522,1.6657,1.59205,1.8823,0.00020909,0.00020909,0.00020909
43,304.655,1.09505,1.30328,1.50123,0.93015,0.62821,0.8173,0.42545,1.76682,1.61467,2.01249,0.000187092,0.000187092,0.000187092
44,310.55,1.0763,1.28437,1.49666,0.94978,0.62821,0.81609,0.38152,1.79022,1.68623,1.98038,0.000165095,0.000165095,0.000165095
45,316.441,1.02204,1.21022,1.43731,0.67473,0.56346,0.60454,0.29118,1.84584,1.55599,1.98472,0.000143097,0.000143097,0.000143097
46,322.482,0.96574,1.15664,1.391,0.68306,0.58974,0.69621,0.39729,1.83523,1.46886,2.03879,0.000121099,0.000121099,0.000121099
47,328.559,0.98928,1.1714,1.41497,0.78048,0.71815,0.7881,0.40482,1.84348,1.46358,2.127,9.91012e-05,9.91012e-05,9.91012e-05
48,334.479,0.9566,1.18275,1.39475,0.86683,0.69829,0.81666,0.39883,1.87784,1.5491,2.18293,7.71034e-05,7.71034e-05,7.71034e-05
49,340.368,0.94281,1.11236,1.36746,0.86252,0.71752,0.8446,0.40873,1.82568,1.54027,2.18889,5.51056e-05,5.51056e-05,5.51056e-05
50,347.597,0.95891,1.13208,1.37499,0.96262,0.65986,0.84817,0.38809,1.83937,1.55659,2.17646,3.31078e-05,3.31078e-05,3.31078e-05
1,10.1466,2.01021,4.6152,2.20401,0.00416,0.79487,0.13214,0.05952,1.60846,4.15332,1.6958,0.000361516,0.000361516,0.000361516
1,10.933,2.01021,4.6152,2.20401,0.00416,0.79487,0.13214,0.05952,1.60846,4.15332,1.6958,0.000361516,0.000361516,0.000361516
2,22.539,1.79324,4.00026,2.05449,0.01272,0.92308,0.11414,0.04458,2.01136,3.51387,2.08256,0.000717359,0.000717359,0.000717359
3,40.5844,1.80946,3.73553,2.01165,0.91496,0.16667,0.27529,0.08554,2.03608,3.5768,2.14116,0.00105854,0.00105854,0.00105854
4,50.1666,1.79722,3.65106,2.08689,0.33863,0.51282,0.29827,0.13909,1.91513,4.31155,2.12297,0.00104501,0.00104501,0.00104501
5,59.3426,1.77138,3.37996,2.03075,0.43517,0.4616,0.31816,0.15941,1.64011,2.75364,1.88803,0.00102301,0.00102301,0.00102301
6,67.0692,1.72551,3.18424,1.97118,0.3937,0.41904,0.31439,0.13636,1.67761,2.79603,1.8393,0.00100101,0.00100101,0.00100101
7,74.4757,1.75521,3.05898,1.99115,1,0.38208,0.58147,0.21578,1.75702,2.37126,1.96096,0.000979013,0.000979013,0.000979013
8,81.7741,1.72266,2.96502,1.96669,0.82141,0.2705,0.46231,0.22113,1.82748,2.18229,1.95633,0.000957015,0.000957015,0.000957015
9,90.1465,1.67718,2.89831,1.95913,0.53113,0.46744,0.54811,0.21399,1.80409,2.38763,2.07746,0.000935018,0.000935018,0.000935018
10,97.4791,1.64995,2.83447,1.93595,0.64499,0.53846,0.73043,0.4082,1.60456,1.90047,1.89156,0.00091302,0.00091302,0.00091302
11,104.631,1.63178,2.72821,1.89637,0.65855,0.61489,0.68292,0.44192,1.43763,1.68157,1.77106,0.000891022,0.000891022,0.000891022
12,111.786,1.56391,2.57379,1.84649,0.23051,0.76854,0.52162,0.27826,1.63855,2.10904,1.85245,0.000869024,0.000869024,0.000869024
13,119.244,1.58587,2.5134,1.84583,0.42378,0.4359,0.41697,0.18647,1.63761,2.30897,1.93507,0.000847026,0.000847026,0.000847026
14,127.203,1.56393,2.47158,1.84903,0.77171,0.46051,0.35351,0.16301,1.65524,2.03013,1.80313,0.000825029,0.000825029,0.000825029
15,134.661,1.57084,2.34901,1.81926,0.56323,0.61195,0.74053,0.24069,1.73809,2.04348,1.98437,0.000803031,0.000803031,0.000803031
16,141.72,1.48227,2.2934,1.81573,0.67083,0.67949,0.77,0.34828,1.55746,1.59736,1.77799,0.000781033,0.000781033,0.000781033
17,148.925,1.5186,2.33157,1.79887,0.41583,0.70513,0.54701,0.22728,1.5786,1.80116,1.82128,0.000759035,0.000759035,0.000759035
18,156.243,1.53563,2.21737,1.7805,0.90939,0.63869,0.77658,0.38006,1.67717,1.66114,1.83943,0.000737037,0.000737037,0.000737037
19,163.87,1.44989,2.1193,1.72671,0.54501,0.82051,0.65252,0.26705,1.79024,1.96576,2.02,0.00071504,0.00071504,0.00071504
20,170.811,1.44696,2.10508,1.724,0.2657,0.54293,0.42449,0.25978,1.71042,2.16839,1.92908,0.000693042,0.000693042,0.000693042
21,178.25,1.41949,2.02965,1.71132,0.63829,0.67949,0.75043,0.31436,1.57992,1.60829,1.79814,0.000671044,0.000671044,0.000671044
22,186.039,1.38885,1.90647,1.68681,0.46407,0.67905,0.59568,0.35787,1.57444,1.52316,1.80382,0.000649046,0.000649046,0.000649046
23,196.227,1.36307,1.88866,1.6832,0.56042,0.73801,0.69571,0.38758,1.66343,1.41781,1.74946,0.000627048,0.000627048,0.000627048
24,206.367,1.3392,1.81378,1.6319,0.86924,0.62821,0.74168,0.40123,1.58927,1.56534,1.77919,0.000605051,0.000605051,0.000605051
25,213.786,1.34379,1.80696,1.63408,0.67891,0.64269,0.6854,0.34245,1.74564,1.69923,1.91726,0.000583053,0.000583053,0.000583053
26,220.953,1.33371,1.8205,1.63424,0.95604,0.61349,0.7926,0.41661,1.67905,1.70782,1.83119,0.000561055,0.000561055,0.000561055
27,229.505,1.37275,1.76693,1.65389,0.79694,0.62339,0.68188,0.36324,1.61481,1.73204,1.85368,0.000539057,0.000539057,0.000539057
28,239.392,1.31037,1.69962,1.59273,0.90363,0.67246,0.81506,0.26671,1.78139,1.45796,2.01449,0.000517059,0.000517059,0.000517059
29,247.2,1.3047,1.66616,1.54843,0.80741,0.68219,0.81931,0.46413,1.64774,1.49181,1.83922,0.000495062,0.000495062,0.000495062
30,256.027,1.31366,1.6486,1.593,0.91982,0.65896,0.80356,0.42981,1.68506,1.57491,1.79035,0.000473064,0.000473064,0.000473064
31,265.488,1.26518,1.61737,1.57801,0.783,0.6957,0.76975,0.38202,1.73292,1.58959,1.97484,0.000451066,0.000451066,0.000451066
32,277.063,1.22329,1.5479,1.53123,0.47264,0.82259,0.70481,0.37863,1.69155,1.80853,1.85694,0.000429068,0.000429068,0.000429068
33,287.538,1.20503,1.5144,1.50652,0.55151,0.68596,0.67229,0.37935,1.64076,1.64151,1.78825,0.00040707,0.00040707,0.00040707
34,297.988,1.17604,1.49688,1.53017,0.92648,0.60096,0.79007,0.43882,1.77135,1.72202,1.89892,0.000385073,0.000385073,0.000385073
35,307.042,1.18207,1.44981,1.49651,0.91703,0.62419,0.79328,0.40536,1.72415,1.54985,1.82831,0.000363075,0.000363075,0.000363075
36,320.813,1.1862,1.48342,1.48988,0.91338,0.69878,0.77588,0.37322,1.68388,1.43604,1.82276,0.000341077,0.000341077,0.000341077
37,328.427,1.16234,1.41594,1.48723,0.87284,0.62466,0.78784,0.38327,1.74658,1.66455,1.87773,0.000319079,0.000319079,0.000319079
38,335.511,1.09927,1.32634,1.43054,0.74373,0.67949,0.756,0.41418,1.64835,1.52468,1.80107,0.000297081,0.000297081,0.000297081
39,342.917,1.14331,1.40539,1.48452,0.91637,0.63004,0.8104,0.45977,1.57699,1.45435,1.77429,0.000275084,0.000275084,0.000275084
40,350.05,1.10587,1.31133,1.42651,0.72849,0.53846,0.60964,0.33909,1.57234,1.47604,1.72831,0.000253086,0.000253086,0.000253086
41,362.578,1.211,1.47725,1.58334,0.60518,0.51282,0.61914,0.32267,1.85585,1.73253,2.14637,0.000231088,0.000231088,0.000231088
42,372.2,1.16223,1.41521,1.53291,0.87993,0.66359,0.8279,0.49522,1.6657,1.59205,1.8823,0.00020909,0.00020909,0.00020909
43,379.67,1.09505,1.30328,1.50123,0.93015,0.62821,0.8173,0.42545,1.76682,1.61467,2.01249,0.000187092,0.000187092,0.000187092
44,386.692,1.0763,1.28437,1.49666,0.94978,0.62821,0.81609,0.38152,1.79022,1.68623,1.98038,0.000165095,0.000165095,0.000165095
45,393.756,1.02204,1.21022,1.43731,0.67473,0.56346,0.60454,0.29118,1.84584,1.55599,1.98472,0.000143097,0.000143097,0.000143097
46,400.49,0.96574,1.15664,1.391,0.68306,0.58974,0.69621,0.39729,1.83523,1.46886,2.03879,0.000121099,0.000121099,0.000121099
47,407.196,0.98928,1.1714,1.41497,0.78048,0.71815,0.7881,0.40482,1.84348,1.46358,2.127,9.91012e-05,9.91012e-05,9.91012e-05
48,413.939,0.9566,1.18275,1.39475,0.86683,0.69829,0.81666,0.39883,1.87784,1.5491,2.18293,7.71034e-05,7.71034e-05,7.71034e-05
49,420.428,0.94281,1.11236,1.36746,0.86252,0.71752,0.8446,0.40873,1.82568,1.54027,2.18889,5.51056e-05,5.51056e-05,5.51056e-05
50,426.823,0.95891,1.13208,1.37499,0.96262,0.65986,0.84817,0.38809,1.83937,1.55659,2.17646,3.31078e-05,3.31078e-05,3.31078e-05
1,11.1671,2.01021,4.6152,2.20401,0.00416,0.79487,0.13214,0.05952,1.60846,4.15332,1.6958,0.000361516,0.000361516,0.000361516
2,20.1391,1.79324,4.00026,2.05449,0.01272,0.92308,0.11414,0.04458,2.01136,3.51387,2.08256,0.000717359,0.000717359,0.000717359
3,27.123,1.80946,3.73553,2.01165,0.91496,0.16667,0.27529,0.08554,2.03608,3.5768,2.14116,0.00105854,0.00105854,0.00105854
4,34.8559,1.79722,3.65106,2.08689,0.33863,0.51282,0.29827,0.13909,1.91513,4.31155,2.12297,0.00104501,0.00104501,0.00104501
5,41.0378,1.77138,3.37996,2.03075,0.43517,0.4616,0.31816,0.15941,1.64011,2.75364,1.88803,0.00102301,0.00102301,0.00102301
6,46.9149,1.72551,3.18424,1.97118,0.3937,0.41904,0.31439,0.13636,1.67761,2.79603,1.8393,0.00100101,0.00100101,0.00100101
7,52.7961,1.75521,3.05898,1.99115,1,0.38208,0.58147,0.21578,1.75702,2.37126,1.96096,0.000979013,0.000979013,0.000979013
8,58.7032,1.72266,2.96502,1.96669,0.82141,0.2705,0.46231,0.22113,1.82748,2.18229,1.95633,0.000957015,0.000957015,0.000957015
9,64.5948,1.67718,2.89831,1.95913,0.53113,0.46744,0.54811,0.21399,1.80409,2.38763,2.07746,0.000935018,0.000935018,0.000935018
10,70.512,1.64995,2.83447,1.93595,0.64499,0.53846,0.73043,0.4082,1.60456,1.90047,1.89156,0.00091302,0.00091302,0.00091302
11,76.4618,1.63178,2.72821,1.89637,0.65855,0.61489,0.68292,0.44192,1.43763,1.68157,1.77106,0.000891022,0.000891022,0.000891022
12,83.701,1.56391,2.57379,1.84649,0.23051,0.76854,0.52162,0.27826,1.63855,2.10904,1.85245,0.000869024,0.000869024,0.000869024
13,94.2053,1.58587,2.5134,1.84583,0.42378,0.4359,0.41697,0.18647,1.63761,2.30897,1.93507,0.000847026,0.000847026,0.000847026
14,107.416,1.56393,2.47158,1.84903,0.77171,0.46051,0.35351,0.16301,1.65524,2.03013,1.80313,0.000825029,0.000825029,0.000825029
15,120.427,1.57084,2.34901,1.81926,0.56323,0.61195,0.74053,0.24069,1.73809,2.04348,1.98437,0.000803031,0.000803031,0.000803031
16,134.598,1.48227,2.2934,1.81573,0.67083,0.67949,0.77,0.34828,1.55746,1.59736,1.77799,0.000781033,0.000781033,0.000781033
